2024-02-15 22:57:12 startup archives unpack
2024-02-15 22:57:12 install readline-common:all <none> 8.1-1
2024-02-15 22:57:12 status half-installed readline-common:all 8.1-1
2024-02-15 22:57:12 status unpacked readline-common:all 8.1-1
2024-02-15 22:57:12 install libreadline8:amd64 <none> 8.1-1
2024-02-15 22:57:12 status triggers-pending libc-bin:amd64 2.31-13+deb11u8
2024-02-15 22:57:12 status half-installed libreadline8:amd64 8.1-1
2024-02-15 22:57:12 status unpacked libreadline8:amd64 8.1-1
2024-02-15 22:57:12 install openssl:amd64 <none> 1.1.1w-0+deb11u1
2024-02-15 22:57:12 status half-installed openssl:amd64 1.1.1w-0+deb11u1
2024-02-15 22:57:12 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-02-15 22:57:12 install ca-certificates:all <none> 20210119
2024-02-15 22:57:12 status half-installed ca-certificates:all 20210119
2024-02-15 22:57:12 status unpacked ca-certificates:all 20210119
2024-02-15 22:57:12 install libpsl5:amd64 <none> 0.21.0-1.2
2024-02-15 22:57:12 status half-installed libpsl5:amd64 0.21.0-1.2
2024-02-15 22:57:12 status unpacked libpsl5:amd64 0.21.0-1.2
2024-02-15 22:57:12 install wget:amd64 <none> 1.21-1+deb11u1
2024-02-15 22:57:12 status half-installed wget:amd64 1.21-1+deb11u1
2024-02-15 22:57:12 status unpacked wget:amd64 1.21-1+deb11u1
2024-02-15 22:57:12 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2024-02-15 22:57:12 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2024-02-15 22:57:12 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2024-02-15 22:57:12 install libbrotli1:amd64 <none> 1.0.9-2+b2
2024-02-15 22:57:12 status half-installed libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:12 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:12 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:12 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:12 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:12 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:12 install libnghttp2-14:amd64 <none> 1.43.0-1+deb11u1
2024-02-15 22:57:12 status half-installed libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-02-15 22:57:12 status unpacked libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-02-15 22:57:12 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2024-02-15 22:57:12 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-02-15 22:57:12 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
